username,text,timestamp
@BSCNews,"@ThalaLabs dethrones PancakeSwap as the top protocol on Aptos, with a whopping $25.3 million #TVL within just one week of launching its Mainnet! Find out what the protocol is up to: $MOD $APT#Crypto",11h
@TheCryptopatel,"What occurs in derivatives: Observing the Open Interest, a significant increase coincides with a rise in price. For example, after a price rise, the Open Interest rose from 7.9 billion to 9.7 billion, representing a total increase of 1.8 billion. The majority of this increase was concentrated in long positions, starting from a price of 28,400.The Open Interest subsequently entered a range of moderate variation, which reduced the actual disposal probability from 9.7 billion to 8.8 billion, resulting from liquidations and profit gains.",11h
@BlockchainReporter,This week can easily be dedicated to Ethereum as it remained the hot topic. It saw a bullish movement in altcoins with some coin burn reports. $ETH $XRP $SHIB $BNB #Binance #Ethereum #FTX #Ripple #ShibaInu,12h
@BSCNews,"UPDATE: @Transak announces support for #PolygonzkEVM, allowing users to directly purchase $ETH with fiat on Polygon zkEVM! #Crypto",12h
@BSCNews,"Check out the #BSCNews Airdrops and Raffles page! Are you feeling lucky today? Test your luck, and take a look at our #Airdrop page",12h
@Cryptologist2020,$TTN Just be careful about these whallets 4 first one and I can't find clear data,12h
@BSCNews,"By being the first protocol to aggregate @PancakeSwap V3 pools, @GrizzlyFi is offering over 10% yield on blue-chip stablecoin pairs! Details in this article #BSCNews#Sponsored #Cryptocurrency #DeFi",13h
@TheCryptopatel,"$BTC BTC/USDT Bearish Divergence Analysis BTC is currently trading at 30394, and there are indications of a potential downside move in the near future. A bearish flag pattern is forming on the 2-hour timeframe, indicating further decline if the price breaks below $30250 support.",13h
@BSCNews,"Check out @BabyDogeCoin's latest announcement! Get ready for a Top 5 Exchange Listing, coming soon! Read more $BabyDoge#crypto",13h
@CoinMarketCap,It's the small things that count! #themcryptofeels,13h
@BSCNews,The official winners of the #PiHackathon 2023 are here! Find out the nine winners selected by the @PiCoreTeam and #Pioneers reviews based on real-world utility ! #PiNetwork #PiCoreTeam $PI,13h
@TheCryptopatel,"When nocoiners ask where is the money for Bitcoin going to come from, show them this chart $BTC $ETH #Shanghai #Ethereum #Hongkong $DOGE",13h
@BitcoinBazis,Wen 100k? Shill your gems below ️ $BTC $RXD $KAS $INJ $NEAR $WOO $FET $LRC $XLM $ARB #crypto,14h
@BSCNews,Busy all week? It’s time for another recap of the exciting events in the world of #DeFi from the past week. Check out our exclusive weekly recap to stay updated with all the details! ️ #BSCNews#CryptoNews#Cryptocurrency #DeFi,14h
@BlockchainReporter,"At present, Coinbase Stock is trading up to $69.89. This shows a significant decline from the IPO at nearly $381. Technical analysis is inside. $COIN #Coinbase #Market #Stocks #IPO #Trading",14h
@BSCNews,"Check out the biggest security breaches of the week , as outlined by @d3ploy_, a leading #Web3 security team dedicated to enhancing the safety of the industry. Get the details #crypto #CryptoNews #Cryptocurrencies",15h
